Timestamp,Event name,Question 0,New_Invited_nb,New_Invited_W,New_Instructor_nb,New_Instructor_W,New_Org_nb,New_Org_W,New_SciCom_nb,New_SciCom_W,Question 1,Question 2,Question 3,Question 4,Question 5,KeepInformed
6/22/2016 10:41:44,GoldCoast_Australia.SMBE_AncientDNA_and_HumanInnovation.Jul3-7,Yes,2,1,,,4,3,,,Yes,Yes,No,,Yes,Yes
6/22/2016 11:01:04,Manchester.MolGenomeEvolution.Jun20,No,12,6,,,3,1,,,Yes,Yes,No,,Yes,Yes
6/22/2016 11:20:22,Edinburgh.TelomereDynamics.31Oct,Yes,4,2,,,2,1,,,No,No,No,,Yes,Yes
6/22/2016 12:17:22,CornellU.EEID_EvolutionDisease.Jun3-5,No,9,3,,,1,0,,,No,No,No,,Yes,Yes
6/22/2016 12:43:07,Gold_Coast_Australia.SMBE_StructuralVariation.Jul3-7,Yes,2,1,,,5,2,,,Yes,Yes,No,,Yes,Yes
6/22/2016 14:34:56,FloridaStateU.EcolEvolutionEthologyFish.Jun14-16,Yes,8,2,,,6,2,,,Yes,No,No,,Yes,Yes
6/22/2016 20:23:29,DukeU.MadagascarEvolution.Sep21-23,Yes,26,12,,,1,1,,,Yes,Yes,No,"As close to 50% as is reasonable to accomplish, given the field of study.  Excellence of the science should always be the first consideration, with gender being a secondary (but VERY important) consideration.  A conscious effort for gender equity will usually lead symposium organizers to think beyond ""the usual suspects"" for symposia without compromising the scientific excellence in any way.",Yes,Yes
6/23/2016 7:34:05,Zagori_Greece.ConservationBiology.Jun27-Jul8,Yes,,,11,4,6,0,,,No,No,No,,Yes,
6/23/2016 19:11:13,Hinxton_UK.HumGenomeAnalysis.JUL20-26.DEADLINE_APR8,No,5,2,6,2,1,0,,,Yes,Yes,No,,Yes,Yes
6/27/2016 8:52:16,UGoettingen_Germany.ConservationGenetics.Oct5-7.Reminder,Yes,2,0,,,8,1,,,No,No,No,,Yes,Yes
6/28/2016 15:22:29,Barcelona.PhylogeneticAnalysisUsingR.Mar6-10,Yes,2,0,,,2,2,,,Yes,No,No,"As this is an advanced course, we just invite the two persons that were developing the packages that we use during the course. It turns out that both were males, but we were looking for the best researchers in the fields, no specific sex.",Yes,Yes
7/8/2016 9:43:07,UGoettingen.Networks.Oct12-13,No,6,1,,,9,3,,,Yes,Yes,No,,Yes,Yes
7/8/2016 9:43:21,UGoettingen.Networks.Oct12-13,No,6,1,,,9,3,,,Yes,Yes,No,,Yes,Yes
7/8/2016 9:56:38,Italy.ComputLandscapeGenetics.Oct12-14,No,2,1,,,6,0,,,Yes,Yes,No,,Yes,Yes
7/8/2016 10:02:05,Helsinki.WildPlantPathoSystems.Aug29-31,Yes,19,7,,,12,4,,,Yes,Yes,Suggested,"We initially sent out 50:50 f:m invitations. Due to low rate of female speakers accepting the invitations, >50% of invitations were sent to female scientists. The list of all invited speakers is available Upon request.",Yes,Yes
